Seed,Pass/Fail,log2traces inner hash,log2traces outer hash,log2 hypotheses inner hash,log2 hypotheses outer hash,total time,inner time - 15,outer time - 15,inner time - 16,outer time - 16,inner time - 17,outer time - 17,inner time - 18,outer time - 18,inner time - 19,outer time - 19,inner time - 20,outer time - 20,inner time - 21,outer time - 21,inner time - 22,outer time - 22,inner time - 23,outer time - 23,inner time - 24,outer time - 24,inner time - 25,outer time - 25,inner time - 26,outer time - 26,inner time - 27,outer time - 27,inner time - 28,outer time - 28,inner time - 29,outer time - 29,inner time - 30,outer time - 30
198,Success,18,18,1,0,10.216,0.031,0.192,0.164,0.5,0.298,1.031,3.245,4.755,,,,,,,,,,,,,,,,,,,,,,,,
199,Success,18,18,0,4,29.079,0.068,0.195,0.204,0.381,0.382,0.855,3.147,23.848,,,,,,,,,,,,,,,,,,,,,,,,
200,Success,20,18,1,2,35.446,0.015,0.198,0.09,0.401,0.257,0.994,0.482,5.334,0.958,,26.716,,,,,,,,,,,,,,,,,,,,,
201,Success,19,19,0,1,21.22,0.017,0.201,0.037,0.464,0.082,0.952,0.156,1.979,6.401,10.93,,,,,,,,,,,,,,,,,,,,,,
202,Success,19,17,1,0,10.809,0.01,0.215,0.037,0.436,0.353,2.366,0.68,,6.713,,,,,,,,,,,,,,,,,,,,,,,
203,Success,17,17,2,1,9.572,0.054,0.209,0.144,0.465,5.112,3.588,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Success,17,16,0,4,13.17,0.012,0.196,0.071,11.315,1.578,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Success,16,17,2,2,8.514,0.03,0.211,1.671,0.513,,6.089,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Success,18,19,1,0,21.02,0.046,0.235,0.081,0.488,0.165,1.04,5.556,2.078,,11.333,,,,,,,,,,,,,,,,,,,,,,
207,Success,16,18,2,1,7.953,0.038,0.191,1.597,0.415,,0.842,,4.869,,,,,,,,,,,,,,,,,,,,,,,,
208,Success,16,19,2,3,25.425,0.027,0.21,1.597,0.444,,0.981,,1.99,,20.176,,,,,,,,,,,,,,,,,,,,,,
209,Success,19,18,0,0,12.965,0.017,0.223,0.03,0.462,0.069,0.878,0.108,4.815,6.363,,,,,,,,,,,,,,,,,,,,,,,
210,Success,18,19,0,0,18.682,0.012,0.253,0.037,0.48,0.206,1.098,3.164,2.055,,11.378,,,,,,,,,,,,,,,,,,,,,,
211,Success,17,18,3,0,9.583,0.016,0.214,0.068,0.449,3.265,0.909,,4.663,,,,,,,,,,,,,,,,,,,,,,,,
212,Success,19,19,2,1,27.52,0.029,0.226,0.044,0.432,0.237,0.959,0.472,1.846,7.57,15.706,,,,,,,,,,,,,,,,,,,,,,
213,Success,17,18,0,0,8.154,0.034,0.209,0.06,0.412,1.56,1.165,,4.712,,,,,,,,,,,,,,,,,,,,,,,,
214,Success,16,16,0,1,2.398,0.02,0.242,0.842,1.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Success,17,18,1,1,10.724,0.017,0.236,0.087,0.499,1.643,1.146,,7.096,,,,,,,,,,,,,,,,,,,,,,,,
216,Success,16,18,1,1,7.566,0.023,0.215,0.901,0.433,,1.022,,4.972,,,,,,,,,,,,,,,,,,,,,,,,
217,Success,18,17,0,2,6.913,0.01,0.217,0.114,0.467,0.215,2.726,3.165,,,,,,,,,,,,,,,,,,,,,,,,,
218,Success,21,19,3,1,104.252,0.057,0.201,0.108,0.432,0.263,0.899,0.508,1.844,1.056,11.034,2.38,,85.468,,,,,,,,,,,,,,,,,,,
219,Success,17,18,0,2,15.252,0.044,0.216,0.109,0.42,1.594,0.863,,12.006,,,,,,,,,,,,,,,,,,,,,,,,
220,Success,17,17,0,1,4.804,0.021,0.205,0.107,0.404,1.58,2.488,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Success,17,17,0,6,23.063,0.013,0.203,0.161,0.415,1.568,20.703,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Success,18,17,0,1,7.71,0.019,0.228,0.073,0.504,0.191,3.612,3.085,,,,,,,,,,,,,,,,,,,,,,,,,
223,Success,22,21,1,0,261.123,0.011,0.217,0.061,0.528,0.213,1.166,0.409,2.581,0.863,6.049,1.908,14.064,5.26,63.33,164.463,,,,,,,,,,,,,,,,,
224,Success,17,17,3,0,6.683,0.067,0.199,0.208,0.579,3.274,2.357,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Success,18,19,2,1,21.371,0.014,0.203,0.068,0.435,0.226,0.953,5.8,1.927,,11.744,,,,,,,,,,,,,,,,,,,,,,
226,Success,16,22,0,2,264.564,0.027,0.223,0.85,0.471,,1.045,,2.088,,5.809,,12.909,,28.791,,212.349,,,,,,,,,,,,,,,,
