Seed,Pass/Fail,log2traces inner hash,log2traces outer hash,log2 hypotheses inner hash,log2 hypotheses outer hash,total time,inner time - 15,outer time - 15,inner time - 16,outer time - 16,inner time - 17,outer time - 17,inner time - 18,outer time - 18,inner time - 19,outer time - 19,inner time - 20,outer time - 20,inner time - 21,outer time - 21,inner time - 22,outer time - 22,inner time - 23,outer time - 23,inner time - 24,outer time - 24,inner time - 25,outer time - 25,inner time - 26,outer time - 26,inner time - 27,outer time - 27,inner time - 28,outer time - 28,inner time - 29,outer time - 29,inner time - 30,outer time - 30
225,Success,18,21,2,1,102.935,0.006,0.201,0.025,0.426,0.317,0.94,5.737,1.898,,5.292,,11.951,,76.142,,,,,,,,,,,,,,,,,,
226,Success,17,22,0,2,301.783,0.019,0.188,0.043,0.464,1.553,1.062,,2.162,,5.932,,13.687,,40.888,,235.784,,,,,,,,,,,,,,,,
227,Success,18,19,1,2,33.089,0.021,0.192,0.087,0.383,0.365,0.832,3.325,1.691,,26.194,,,,,,,,,,,,,,,,,,,,,,
228,Success,18,16,1,2,6.939,0.025,0.195,0.043,3.215,0.184,,3.277,,,,,,,,,,,,,,,,,,,,,,,,,
229,Success,19,19,2,2,41.2,0.018,0.199,0.034,0.402,0.063,0.831,0.136,1.928,21.357,16.232,,,,,,,,,,,,,,,,,,,,,,
230,Success,19,18,0,1,16.512,0.014,0.196,0.027,0.524,0.2,1.065,0.699,7.231,6.557,,,,,,,,,,,,,,,,,,,,,,,
231,Success,17,23,3,2,784.23,0.005,0.207,0.062,0.427,5.587,0.883,,2.242,,6.168,,14.251,,42.823,,94.375,,617.199,,,,,,,,,,,,,,
232,Success,18,18,1,1,12.07,0.011,0.201,0.047,0.403,0.087,0.859,5.506,4.955,,,,,,,,,,,,,,,,,,,,,,,,
233,Success,18,20,0,1,40.067,0.004,0.192,0.06,0.443,0.179,1.005,3.083,2.134,,6.167,,26.8,,,,,,,,,,,,,,,,,,,,
234,Success,17,18,0,0,8.044,0.013,0.205,0.089,0.454,1.557,0.969,,4.756,,,,,,,,,,,,,,,,,,,,,,,,
235,Success,19,18,1,1,16.739,0.015,0.195,0.05,0.401,0.092,1.051,0.517,7.466,6.952,,,,,,,,,,,,,,,,,,,,,,,
236,Success,20,18,1,2,31.214,0.004,0.207,0.007,0.403,0.203,1.136,0.392,12.315,0.793,,15.754,,,,,,,,,,,,,,,,,,,,,
237,Success,20,19,2,1,50.103,0.01,0.208,0.021,0.512,0.052,1.192,0.125,2.086,0.253,16.359,29.285,,,,,,,,,,,,,,,,,,,,,
